year,month,month_num,dengue_cases
2023,January,1,253
2023,February,2,81
2023,March,3,76
2023,April,4,95
2023,May,5,855
2023,June,6,4665
2023,July,7,41891
2023,August,8,72318
2023,September,9,79994
2023,October,10,68128
2023,November,11,40990
2023,December,12,9371
2024,January,1,1052
2024,February,2,339
2024,March,3,311
2024,April,4,504
2024,May,5,644
2024,June,6,798
2024,July,7,2669
2024,August,8,6521
2024,September,9,18097
2024,October,10,30879
2024,November,11,29652
2024,December,12,9745
2025,January,1,6
2025,February,2,1161
2025,March,3,374
2025,April,4,336
2025,May,5,701
2025,June,6,1773
2025,July,7,5949
2025,August,8,10684
2025,September,9,10496
2025,October,10,15862
2025,November,11,22520
2025,December,12,24535
