year,week,week_num,dengue_cases
2023,W01,1,105
2023,W02,2,56
2023,W03,3,51
2023,W04,4,26
2023,W05,5,30
2023,W06,6,25
2023,W07,7,22
2023,W08,8,14
2023,W09,9,14
2023,W10,10,21
2023,W11,11,16
2023,W12,12,14
2023,W13,13,19
2023,W14,14,21
2023,W15,15,20
2023,W16,16,8
2023,W17,17,37
2023,W18,18,82
2023,W19,19,120
2023,W20,20,140
2023,W21,21,247
2023,W22,22,515
2023,W23,23,687
2023,W24,24,1299
2023,W25,25,1755
2023,W26,26,877
2023,W27,27,2386
2023,W28,28,6779
2023,W29,29,11298
2023,W30,30,15794
2023,W31,31,17625
2023,W32,32,18622
2023,W33,33,15433
2023,W34,34,14395
2023,W35,35,15591
2023,W36,36,17739
2023,W37,37,19315
2023,W38,38,20244
2023,W39,39,18785
2023,W40,40,17506
2023,W41,41,16508
2023,W42,42,15827
2023,W43,43,12953
2023,W44,44,12005
2023,W45,45,12356
2023,W46,46,9957
2023,W47,47,7284
2023,W48,48,5802
2023,W49,49,3832
2023,W50,50,2235
2023,W51,51,1305
2023,W52,52,811
2024,W01,1,362
2024,W02,2,267
2024,W03,3,189
2024,W04,4,160
2024,W05,5,112
2024,W06,6,117
2024,W07,7,61
2024,W08,8,59
2024,W09,9,77
2024,W10,10,65
2024,W11,11,65
2024,W12,12,83
2024,W13,13,64
2024,W14,14,72
2024,W15,15,67
2024,W16,16,146
2024,W17,17,157
2024,W18,18,135
2024,W19,19,153
2024,W20,20,180
2024,W21,21,151
2024,W22,22,124
2024,W23,23,162
2024,W24,24,176
2024,W25,25,136
2024,W26,26,264
2024,W27,27,285
2024,W28,28,519
2024,W29,29,402
2024,W30,30,683
2024,W31,31,1255
2024,W32,32,1016
2024,W33,33,1450
2024,W34,34,1742
2024,W35,35,1882
2024,W36,36,2366
2024,W37,37,3382
2024,W38,38,4519
2024,W39,39,5458
2024,W40,40,6801
2024,W41,41,6443
2024,W42,42,6772
2024,W43,43,7081
2024,W44,44,7502
2024,W45,45,7891
2024,W46,46,7539
2024,W47,47,7116
2024,W48,48,5756
2024,W49,49,4163
2024,W50,50,2872
2024,W51,51,1525
2024,W52,52,1185
2025,W01,1,0
2025,W02,2,221
2025,W03,3,352
2025,W04,4,258
2025,W05,5,190
2025,W06,6,149
2025,W07,7,88
2025,W08,8,127
2025,W09,9,99
2025,W10,10,70
2025,W11,11,44
2025,W12,12,117
2025,W13,13,96
2025,W14,14,56
2025,W15,15,35
2025,W16,16,172
2025,W17,17,153
2025,W18,18,238
2025,W19,19,189
2025,W20,20,318
2025,W21,21,394
2025,W22,22,491
2025,W23,23,488
2025,W24,24,585
2025,W25,25,809
2025,W26,26,1690
2025,W27,27,2053
2025,W28,28,2470
2025,W29,29,2506
2025,W30,30,754
2025,W31,31,3906
2025,W32,32,2207
2025,W33,33,2408
2025,W34,34,2177
2025,W35,35,2290
2025,W36,36,2706
2025,W37,37,2923
2025,W38,38,3375
2025,W39,39,685
2025,W40,40,3196
2025,W41,41,4115
2025,W42,42,3656
2025,W43,43,4741
2025,W44,44,5293
2025,W45,45,5398
2025,W46,46,6216
2025,W47,47,6835
2025,W48,48,6510
2025,W49,49,5628
2025,W50,50,4280
2025,W51,51,3552
2025,W52,52,2777
2025,W53,53,1507
2025,W54,54,851
2025,W55,55,413
