Statistic,Value
Study period,2018–2025 (annual); 2023–2025 (monthly/weekly)
Total cases — 2018,"10,148"
Total cases — 2019,"101,354"
Total cases — 2020 (COVID),"1,405"
COVID-19 case reduction vs 2018–2019 avg,97.5%
Total cases — 2023 (record),"321,017"
National incidence 2023 (per 100k),189.6
Total cases — 2024,"101,211"
Total cases — 2025,"102,861"
National incidence 2024 (per 100k),59.8
Fold increase 2018→2023,31.6×
% increase 2019→2023,216.7%
Avg cases 2024–2025 vs 2018 baseline increase,+905.5%
Peak month 2023,September
Peak month cases 2023,"79,994 (24.9% of annual)"
Monsoon burden 2023 (Jun–Oct),"266,996 (83.2% of annual)"
Peak week 2023,W38
Peak week cases 2023,"20,244"
"Linear trend slope (pre-2023, cases/year)","3,154"
Linear trend p-value (pre-2023),0.8461
Top division by cases 2026 YTD,"Dhaka (1,275 cases, 37.0% of total)"
Top 3 divisions share 2026 YTD,83.5% of all division cases
Data source,DGHS HEOC Dengue Dashboard
Data access date,June 2026
Ethics,Publicly available aggregated data; IRB waiver applies
